"simulation","parameter","mean","mode","lower","upper"
"Random walk","ell",2.26380351620375,1.35444824643034,0.641185442985218,7.45966863754294
"Random walk","phi",103.340343525089,85.9541110493655,52.5986314869284,198.974870529224
"Sinusoidal","ell",2.54379977221484,1.98573194895344,1.10112933412528,4.77210121438397
"Sinusoidal","phi",129368.646081184,0,205.029935271892,108433.007319666
"Step change","ell",2.6678625271687,1.76958580920263,0.851515178968025,6.39919226709327
"Step change","phi",397.610643529457,0,54.0217736373621,718.291351922207
