"simulation","parameter","mean","mode","lower","upper"
"Random walk","ell",18.873636029451,16.9074987968499,9.63568346509614,31.6980466981449
"Random walk","phi",74.1824687400211,65.6175808004223,42.3452376258168,124.181496945401
"Sinusoidal","ell",17.1072215512271,7.07039190052294,5.32832847512511,34.2979042592801
"Sinusoidal","phi",5787.90368364338,0,7.37329984907137,10189.545813357
"Step change","ell",11.9524928910976,10.0171454335366,6.43420882200419,21.5517257836306
"Step change","phi",100.907222644129,68.4896753178678,41.6888334101054,253.081060082244
