"Mean","Lower","Upper","CRPS","t","variable","simulation","TrueValue"
1.16067175468718,NA,NA,NA,1,"R","Random walk",1.05075579797784
1.13118884286813,0.70160169057542,1.56077599516084,NA,2,"R","Random walk",1.15900937123493
1.11874839302488,0.432124058061424,1.80537272798834,NA,3,"R","Random walk",1.27904687521183
1.11992822771597,0.307649898717315,1.93220655671463,NA,4,"R","Random walk",1.25432592311175
1.13187183556343,0.273485335919874,1.99025833520699,NA,5,"R","Random walk",1.21901276609247
1.15199765812615,0.291278622063728,2.01271669418858,NA,6,"R","Random walk",1.31982461556305
1.17775881879738,0.33775746794363,2.01776016965113,NA,7,"R","Random walk",1.33426741549276
1.20645893415231,0.394416843988128,2.01850102431649,NA,8,"R","Random walk",1.33722605619131
1.23512741250855,0.447582261396678,2.02267256362042,NA,9,"R","Random walk",1.38122648595819
1.26046817027743,0.490181211322998,2.03075512923187,NA,10,"R","Random walk",1.46980665176169
1.27889941401051,0.519972069602929,2.03782675841809,NA,11,"R","Random walk",1.25954778340346
1.28669807152934,0.531385655265553,2.04201048779312,NA,12,"R","Random walk",1.3479105093351
1.28047105447048,0.525602070543487,2.03534003839748,NA,13,"R","Random walk",1.35394452271656
1.26411468187052,0.514473967270543,2.01375539647049,NA,14,"R","Random walk",1.43794293409087
1.24256380648009,0.503297802027489,1.98182981093268,NA,15,"R","Random walk",1.32395180390399
1.2205989908304,0.496536626211128,1.94466135544968,NA,16,"R","Random walk",1.29365707384879
1.20276476977233,0.49133728705627,1.9141922524884,NA,17,"R","Random walk",1.19042944124553
1.19344063275574,0.493490913584645,1.89339035192683,NA,18,"R","Random walk",1.02019672710724
1.19705056369824,0.507943054310113,1.88615807308637,NA,19,"R","Random walk",1.13748865883978
1.2181450110596,0.537488335009643,1.89880168710955,NA,20,"R","Random walk",1.2926471263587
1.24588164288396,0.572805968476472,1.91895731729145,NA,21,"R","Random walk",1.24790806219295
1.2686507740957,0.607547748447135,1.92975379974427,NA,22,"R","Random walk",1.26992577182373
1.27399439974398,0.627466802755297,1.92052199673266,NA,23,"R","Random walk",1.37300234856143
1.24968985861661,0.620677644948449,1.87870207228478,NA,24,"R","Random walk",1.26157750118038
1.185985245672,0.58139755585744,1.79057293548655,NA,25,"R","Random walk",1.24239833405177
1.10278964688421,0.527072653329102,1.67850664043933,NA,26,"R","Random walk",1.15133041435367
1.01754760273858,0.471323233055555,1.5637719724216,NA,27,"R","Random walk",0.937442694472502
0.943648878323856,0.420168005950385,1.46712975069733,NA,28,"R","Random walk",0.80466476571653
0.890908224883951,0.380418137868631,1.40139831189927,NA,29,"R","Random walk",0.83997253619983
0.867368468904828,0.364320751685912,1.37041618612374,NA,30,"R","Random walk",0.770540542072998
0.864221603901995,0.364053292262206,1.36438991554178,NA,31,"R","Random walk",0.876339512072316
0.873623724913656,0.374957586268946,1.37228986355837,NA,32,"R","Random walk",0.935836791908507
0.888206103436559,0.395469238506886,1.38094296836623,NA,33,"R","Random walk",0.946752658260147
0.900326786112462,0.417846476828539,1.38280709539638,NA,34,"R","Random walk",0.938354461845845
0.901972740889161,0.431301538754469,1.37264394302385,NA,35,"R","Random walk",0.922556578053314
0.885336965189755,0.427199907437808,1.3434740229417,NA,36,"R","Random walk",0.972493464862293
0.844042348083034,0.401689311229021,1.28639538493705,NA,37,"R","Random walk",0.875822968174508
0.785396709156433,0.36264318442215,1.20815023389072,NA,38,"R","Random walk",0.848120494406299
0.719710789193584,0.317469386733454,1.12195219165371,NA,39,"R","Random walk",0.649925608997018
0.655308696100825,0.271656642154447,1.0389607500472,NA,40,"R","Random walk",0.658019222189197
0.598177788309842,0.229004753876207,0.967350822743477,NA,41,"R","Random walk",0.736653639942764
0.552321162162952,0.194988941297105,0.909653383028798,NA,42,"R","Random walk",0.534615273272704
0.520489272084203,0.170664188451494,0.870314355716913,NA,43,"R","Random walk",0.528510247902397
0.505091136014296,0.155588892231304,0.854593379797288,NA,44,"R","Random walk",0.508145468302673
0.509260223154264,0.153540639321386,0.864979806987142,NA,45,"R","Random walk",0.44697277599999
0.528893378779813,0.161104412054801,0.896682345504824,NA,46,"R","Random walk",0.514484786149741
0.560919029319466,0.176112199963943,0.945725858674989,NA,47,"R","Random walk",0.687666652758221
0.602260700904519,0.197299537612848,1.00722186419619,NA,48,"R","Random walk",0.68915182037088
0.649046402854255,0.221163660092505,1.076929145616,NA,49,"R","Random walk",0.724661142715747
0.696039287641481,0.244489132546496,1.14758944273647,NA,50,"R","Random walk",0.840263024138111
0.736411440007082,0.26098467111353,1.21183820890063,NA,51,"R","Random walk",0.976407115736378
0.762072379416437,0.27254618620748,1.25159857262539,NA,52,"R","Random walk",0.809572465850976
0.771302800989362,0.279905991586536,1.26269961039219,NA,53,"R","Random walk",0.735767795852321
0.767027804013084,0.275907951140861,1.25814765688531,NA,54,"R","Random walk",0.682530545189007
0.752943313003529,0.264949516618435,1.24093710938862,NA,55,"R","Random walk",0.645923232664183
0.732974807646057,0.250075564408433,1.21587405088368,NA,56,"R","Random walk",0.653307826746064
0.710895582508793,0.229111560623745,1.19267960439384,NA,57,"R","Random walk",0.654546787631544
