eta,p,movingaverage,model
0.10300000000000001,3.456457813643434e-48,Raw,EpiFilter
0.104,2.04927117372102e-47,Raw,EpiFilter
0.105,1.179380413093178e-46,Raw,EpiFilter
0.10600000000000001,6.592676557634282e-46,Raw,EpiFilter
0.107,3.581642921970002e-45,Raw,EpiFilter
0.108,1.8922009071118777e-44,Raw,EpiFilter
0.109,9.726603829997e-44,Raw,EpiFilter
0.11,4.867454123472674e-43,Raw,EpiFilter
0.111,2.372575958260438e-42,Raw,EpiFilter
0.11199999999999999,1.1270431175714512e-41,Raw,EpiFilter
0.113,5.220131218829599e-41,Raw,EpiFilter
0.114,2.3586047006018716e-40,Raw,EpiFilter
0.11499999999999999,1.0400838870882148e-39,Raw,EpiFilter
0.116,4.4783921634449116e-39,Raw,EpiFilter
0.117,1.8837017842271878e-38,Raw,EpiFilter
0.118,7.743352480707421e-38,Raw,EpiFilter
0.11900000000000001,3.1121345495619018e-37,Raw,EpiFilter
0.12,1.2234351753892516e-36,Raw,EpiFilter
0.121,4.7062283640278436e-36,Raw,EpiFilter
0.122,1.772173219312149e-35,Raw,EpiFilter
0.123,6.535034173230925e-35,Raw,EpiFilter
0.124,2.3608113714323956e-34,Raw,EpiFilter
0.125,8.358062685310805e-34,Raw,EpiFilter
0.126,2.900922662531278e-33,Raw,EpiFilter
0.127,9.874255975523832e-33,Raw,EpiFilter
0.128,3.297297885397365e-32,Raw,EpiFilter
0.129,1.0805426188141473e-31,Raw,EpiFilter
0.13,3.476133627397201e-31,Raw,EpiFilter
0.131,1.0981445188288332e-30,Raw,EpiFilter
0.13199999999999998,3.4077320405939335e-30,Raw,EpiFilter
0.13299999999999998,1.0390719370801898e-29,Raw,EpiFilter
0.134,3.114069973953385e-29,Raw,EpiFilter
0.135,9.175698182554852e-29,Raw,EpiFilter
0.136,2.6588906993949966e-28,Raw,EpiFilter
0.137,7.5793566224211535e-28,Raw,EpiFilter
0.13799999999999998,2.1259444958382455e-27,Raw,EpiFilter
0.13899999999999998,5.869132124690045e-27,Raw,EpiFilter
0.14,1.5951826036254598e-26,Raw,EpiFilter
0.14100000000000001,4.2694430695233453e-26,Raw,EpiFilter
0.14200000000000002,1.1255473096605373e-25,Raw,EpiFilter
0.143,2.923432752071237e-25,Raw,EpiFilter
0.144,7.482766537362943e-25,Raw,EpiFilter
0.145,1.8878686356804823e-24,Raw,EpiFilter
0.146,4.6959179576874784e-24,Raw,EpiFilter
0.14700000000000002,1.1518741094790934e-23,Raw,EpiFilter
0.148,2.786890963673121e-23,Raw,EpiFilter
0.149,6.652090051733536e-23,Raw,EpiFilter
0.15,1.5667882763566044e-22,Raw,EpiFilter
0.151,3.6422152610404314e-22,Raw,EpiFilter
0.152,8.358171787748737e-22,Raw,EpiFilter
0.15300000000000002,1.8937948271915067e-21,Raw,EpiFilter
0.154,4.237545709478858e-21,Raw,EpiFilter
0.155,9.365650757385705e-21,Raw,EpiFilter
0.156,2.0449574830941803e-20,Raw,EpiFilter
0.157,4.411969361238367e-20,Raw,EpiFilter
0.158,9.407195854487115e-20,Raw,EpiFilter
0.15899999999999997,1.982638432539018e-19,Raw,EpiFilter
0.16,4.1310190958716635e-19,Raw,EpiFilter
0.161,8.510881563210545e-19,Raw,EpiFilter
0.162,1.7340735238802472e-18,Raw,EpiFilter
0.163,3.494674330029382e-18,Raw,EpiFilter
0.16399999999999998,6.967251462509468e-18,Raw,EpiFilter
0.16499999999999998,1.3743580841592182e-17,Raw,EpiFilter
0.166,2.6828030557664688e-17,Raw,EpiFilter
0.167,5.1831501441548965e-17,Raw,EpiFilter
0.168,9.912412109938145e-17,Raw,EpiFilter
0.169,1.8767601885156025e-16,Raw,EpiFilter
0.16999999999999998,3.518392427698645e-16,Raw,EpiFilter
0.17099999999999999,6.532011354411035e-16,Raw,EpiFilter
0.17200000000000001,1.201093373367161e-15,Raw,EpiFilter
0.17300000000000001,2.187725258063448e-15,Raw,EpiFilter
0.17400000000000002,3.94777983974063e-15,Raw,EpiFilter
0.175,7.058528454988085e-15,Raw,EpiFilter
0.176,1.2506405571392498e-14,Raw,EpiFilter
0.177,2.1961549599681033e-14,Raw,EpiFilter
0.178,3.8226073899652127e-14,Raw,EpiFilter
0.17900000000000002,6.59592714146861e-14,Raw,EpiFilter
0.18,1.1284017519912586e-13,Raw,EpiFilter
0.181,1.9141450150455403e-13,Raw,EpiFilter
0.182,3.220028293243609e-13,Raw,EpiFilter
0.183,5.372396453857115e-13,Raw,EpiFilter
0.184,8.890964323538786e-13,Raw,EpiFilter
0.18500000000000003,1.4596551463788673e-12,Raw,EpiFilter
0.186,2.3774948845534294e-12,Raw,EpiFilter
0.187,3.842407652755747e-12,Raw,EpiFilter
0.188,6.162368166649346e-12,Raw,EpiFilter
0.189,9.808380421306048e-12,Raw,EpiFilter
0.19,1.5495186325760596e-11,Raw,EpiFilter
0.19099999999999998,2.4299079602619246e-11,Raw,EpiFilter
0.192,3.7828520272434926e-11,Raw,EpiFilter
0.193,5.84692745124209e-11,Raw,EpiFilter
0.194,8.973389717389375e-11,Raw,EpiFilter
0.195,1.36756138398036e-10,Raw,EpiFilter
0.19599999999999998,2.0698504540183165e-10,Raw,EpiFilter
0.19699999999999998,3.111520679636807e-10,Raw,EpiFilter
0.198,4.646084759038743e-10,Raw,EpiFilter
0.199,6.891611879273162e-10,Raw,EpiFilter
0.2,1.015574256602811e-9,Raw,EpiFilter
0.201,1.4869525653436053e-9,Raw,EpiFilter
0.20199999999999999,2.1632858359909467e-9,Raw,EpiFilter
0.20299999999999999,3.127507135733955e-9,Raw,EpiFilter
0.204,4.493513255446099e-9,Raw,EpiFilter
0.20500000000000002,6.416707345231727e-9,Raw,EpiFilter
0.20600000000000002,9.107759904232212e-9,Raw,EpiFilter
0.207,1.2850445538795913e-8,Raw,EpiFilter
0.208,1.802460265546368e-8,Raw,EpiFilter
0.209,2.5135484040838686e-8,Raw,EpiFilter
0.21,3.4851020274650663e-8,Raw,EpiFilter
0.21100000000000002,4.8048806652007926e-8,Raw,EpiFilter
0.21200000000000002,6.587494837402962e-8,Raw,EpiFilter
0.213,8.981725761499597e-8,Raw,EpiFilter
0.214,1.2179568757827822e-7,Raw,EpiFilter
0.215,1.6427330885224602e-7,Raw,EpiFilter
0.216,2.2039157609865303e-7,Raw,EpiFilter
0.217,2.941340896862691e-7,Raw,EpiFilter
0.218,3.905235158231903e-7,Raw,EpiFilter
0.219,5.158567755030627e-7,Raw,EpiFilter
0.22,6.779840294435342e-7,Raw,EpiFilter
0.221,8.866373521468222e-7,Raw,EpiFilter
0.222,1.1538152790488693e-6,Raw,EpiFilter
0.22299999999999998,1.494229599413103e-6,Raw,EpiFilter
0.224,1.925820824335484e-6,Raw,EpiFilter
0.225,2.470348652510395e-6,Raw,EpiFilter
0.226,3.1540634533761558e-6,Raw,EpiFilter
0.227,4.008464255077917e-6,Raw,EpiFilter
