eta,p,simulation,model
0.11499999999999999,0.021594670730125335,Random walk,EpiFilter
0.116,0.02112793561538235,Random walk,EpiFilter
0.117,0.020612551003400013,Random walk,EpiFilter
0.118,0.02005390473180784,Random walk,EpiFilter
0.11900000000000001,0.0194574601290437,Random walk,EpiFilter
0.12,0.018828685483860633,Random walk,EpiFilter
0.121,0.018172989199678972,Random walk,EpiFilter
0.122,0.017495661248825872,Random walk,EpiFilter
0.123,0.016801821349542417,Random walk,EpiFilter
0.124,0.01609637410827817,Random walk,EpiFilter
0.125,0.01538397120548355,Random walk,EpiFilter
0.126,0.014668980555542261,Random walk,EpiFilter
0.127,0.013955462243768984,Random walk,EpiFilter
0.128,0.01324715093499931,Random walk,EpiFilter
0.129,0.012547444359976689,Random walk,EpiFilter
0.13,0.011859397416762953,Random walk,EpiFilter
0.131,0.011185721373971943,Random walk,EpiFilter
0.13199999999999998,0.010528787629267115,Random walk,EpiFilter
0.13299999999999998,0.009890635459018233,Random walk,EpiFilter
0.134,0.00927298319127065,Random walk,EpiFilter
0.135,0.008677242242520056,Random walk,EpiFilter
0.136,0.008104533477403851,Random walk,EpiFilter
0.137,0.0075557053773147335,Random walk,EpiFilter
0.13799999999999998,0.007031353537418081,Random walk,EpiFilter
0.13899999999999998,0.006531841049972032,Random walk,EpiFilter
0.14,0.0060573193735066755,Random walk,EpiFilter
0.14100000000000001,0.0056077493311975524,Random walk,EpiFilter
0.14200000000000002,0.005182921926079293,Random walk,EpiFilter
0.143,0.0047824787049127425,Random walk,EpiFilter
0.144,0.0044059314454338,Random walk,EpiFilter
0.145,0.004052680982646984,Random walk,EpiFilter
0.146,0.0037220350284355823,Random walk,EpiFilter
0.14700000000000002,0.0034132248743254656,Random walk,EpiFilter
0.148,0.0031254208997715054,Random walk,EpiFilter
0.149,0.0028577468374552883,Random walk,EpiFilter
0.15,0.0026092927728125197,Random walk,EpiFilter
0.151,0.002379126877377516,Random walk,EpiFilter
0.152,0.002166305894593817,Random walk,EpiFilter
0.15300000000000002,0.001969884412625821,Random walk,EpiFilter
0.154,0.0017889229716911209,Random walk,EpiFilter
0.155,0.0016224950636110052,Random walk,EpiFilter
0.156,0.0014696930889997383,Random walk,EpiFilter
0.157,0.0013296333429813159,Random walk,EpiFilter
0.158,0.0012014601037768982,Random walk,EpiFilter
0.15899999999999997,0.0010843489002684778,Random walk,EpiFilter
0.16,0.0009775090348842126,Random walk,EpiFilter
0.161,0.0008801854371543703,Random walk,EpiFilter
0.162,0.0007916599212645939,Random walk,EpiFilter
0.163,0.0007112519180687544,Random walk,EpiFilter
0.16399999999999998,0.0006383187485316555,Random walk,EpiFilter
0.16499999999999998,0.0005722555015973924,Random walk,EpiFilter
0.166,0.0005124945751684842,Random walk,EpiFilter
0.167,0.00045850493438500436,Random walk,EpiFilter
0.168,0.00040979113678650336,Random walk,EpiFilter
