eta,p,movingaverage,model
0.118,3.074006184120358e-32,Raw,EpiFilter
0.11900000000000001,1.006107689446439e-31,Raw,EpiFilter
0.12,3.232375712705263e-31,Raw,EpiFilter
0.121,1.0197200950106077e-30,Raw,EpiFilter
0.122,3.1598198923179964e-30,Raw,EpiFilter
0.123,9.620612988395256e-30,Raw,EpiFilter
0.124,2.8789600122789003e-29,Raw,EpiFilter
0.125,8.470149476382852e-29,Raw,EpiFilter
0.126,2.4507326710245275e-28,Raw,EpiFilter
0.127,6.975478448180787e-28,Raw,EpiFilter
0.128,1.9536467294531336e-27,Raw,EpiFilter
0.129,5.3855483229221764e-27,Raw,EpiFilter
0.13,1.461641181552456e-26,Raw,EpiFilter
0.131,3.906528141923365e-26,Raw,EpiFilter
0.13199999999999998,1.0284667763278068e-25,Raw,EpiFilter
0.13299999999999998,2.667755068024738e-25,Raw,EpiFilter
0.134,6.819661651372978e-25,Raw,EpiFilter
0.135,1.718475464313034e-24,Raw,EpiFilter
0.136,4.2696043454409136e-24,Raw,EpiFilter
0.137,1.046149264259791e-23,Raw,EpiFilter
0.13799999999999998,2.528466429978737e-23,Raw,EpiFilter
0.13899999999999998,6.029370251750088e-23,Raw,EpiFilter
0.14,1.418827606463321e-22,Raw,EpiFilter
0.14100000000000001,3.2954896701263792e-22,Raw,EpiFilter
0.14200000000000002,7.556675350377279e-22,Raw,EpiFilter
0.143,1.7109923021663785e-21,Raw,EpiFilter
0.144,3.826097545699486e-21,Raw,EpiFilter
0.145,8.451566013184942e-21,Raw,EpiFilter
0.146,1.8444729818203655e-20,Raw,EpiFilter
0.14700000000000002,3.977777856029534e-20,Raw,EpiFilter
0.148,8.478508122584729e-20,Raw,EpiFilter
0.149,1.7864261534839128e-19,Raw,EpiFilter
0.15,3.721447822696621e-19,Raw,EpiFilter
0.151,7.666075736421427e-19,Raw,EpiFilter
0.152,1.5618532669679103e-18,Raw,EpiFilter
0.15300000000000002,3.1476292845509722e-18,Raw,EpiFilter
0.154,6.275843020199157e-18,Raw,EpiFilter
0.155,1.2381502041302742e-17,Raw,EpiFilter
0.156,2.4174288982389824e-17,Raw,EpiFilter
0.157,4.6717361624609674e-17,Raw,EpiFilter
0.158,8.937396620072945e-17,Raw,EpiFilter
0.15899999999999997,1.6928349106302988e-16,Raw,EpiFilter
0.16,3.175050346240957e-16,Raw,EpiFilter
0.161,5.897657202525954e-16,Raw,EpiFilter
0.162,1.0850773894181005e-15,Raw,EpiFilter
0.163,1.977663952582647e-15,Raw,EpiFilter
0.16399999999999998,3.571183448251104e-15,Raw,EpiFilter
0.16499999999999998,6.389928151783601e-15,Raw,EpiFilter
0.166,1.133076498001706e-14,Raw,EpiFilter
0.167,1.9913897081255582e-14,Raw,EpiFilter
0.168,3.469288731621006e-14,Raw,EpiFilter
0.169,5.991896019199892e-14,Raw,EpiFilter
0.16999999999999998,1.0260754745893263e-13,Raw,EpiFilter
0.17099999999999999,1.742353491723401e-13,Raw,EpiFilter
0.17200000000000001,2.934168236984626e-13,Raw,EpiFilter
0.17300000000000001,4.900885460297982e-13,Raw,EpiFilter
0.17400000000000002,8.119945239755288e-13,Raw,EpiFilter
0.175,1.3346520736084283e-12,Raw,EpiFilter
0.176,2.1765371320553117e-12,Raw,EpiFilter
0.177,3.5220297299839206e-12,Raw,EpiFilter
0.178,5.655799484267299e-12,Raw,EpiFilter
0.17900000000000002,9.013914612673696e-12,Raw,EpiFilter
0.18,1.42591951559239e-11,Raw,EpiFilter
0.181,2.2391424062374747e-11,Raw,EpiFilter
0.182,3.4907267616782194e-11,Raw,EpiFilter
0.183,5.403051128245756e-11,Raw,EpiFilter
0.184,8.304096157650513e-11,Raw,EpiFilter
0.18500000000000003,1.2674069440708292e-10,Raw,EpiFilter
0.186,1.921099856318453e-10,Raw,EpiFilter
0.187,2.8922315001763733e-10,Raw,EpiFilter
0.188,4.325177441606929e-10,Raw,EpiFilter
0.189,6.42540479729992e-10,Raw,EpiFilter
0.19,9.48331308619589e-10,Raw,EpiFilter
