k,p,simulation,model,TrueParam,iter
30,5.595887262869676e-287,Sinusoidal,EpiEstim,100,1
1,2.8112053553538775e-80,Sinusoidal,EpiEstim,200,1
2,1.0,Sinusoidal,EpiEstim,200,1
3,2.79791040421848e-40,Sinusoidal,EpiEstim,200,1
4,4.103510823809954e-107,Sinusoidal,EpiEstim,200,1
5,2.977141709591189e-188,Sinusoidal,EpiEstim,200,1
6,1.8398041855528374e-278,Sinusoidal,EpiEstim,200,1
7,0.0,Sinusoidal,EpiEstim,200,1
8,0.0,Sinusoidal,EpiEstim,200,1
9,0.0,Sinusoidal,EpiEstim,200,1
10,0.0,Sinusoidal,EpiEstim,200,1
11,0.0,Sinusoidal,EpiEstim,200,1
12,0.0,Sinusoidal,EpiEstim,200,1
13,0.0,Sinusoidal,EpiEstim,200,1
14,0.0,Sinusoidal,EpiEstim,200,1
15,0.0,Sinusoidal,EpiEstim,200,1
16,0.0,Sinusoidal,EpiEstim,200,1
17,0.0,Sinusoidal,EpiEstim,200,1
18,0.0,Sinusoidal,EpiEstim,200,1
19,0.0,Sinusoidal,EpiEstim,200,1
20,0.0,Sinusoidal,EpiEstim,200,1
21,0.0,Sinusoidal,EpiEstim,200,1
22,0.0,Sinusoidal,EpiEstim,200,1
23,0.0,Sinusoidal,EpiEstim,200,1
24,0.0,Sinusoidal,EpiEstim,200,1
25,0.0,Sinusoidal,EpiEstim,200,1
26,0.0,Sinusoidal,EpiEstim,200,1
27,0.0,Sinusoidal,EpiEstim,200,1
28,0.0,Sinusoidal,EpiEstim,200,1
29,0.0,Sinusoidal,EpiEstim,200,1
30,0.0,Sinusoidal,EpiEstim,200,1
1,1.6521184177746494e-76,Sinusoidal,EpiEstim,400,1
2,1.0,Sinusoidal,EpiEstim,400,1
3,6.140939933470635e-86,Sinusoidal,EpiEstim,400,1
4,1.452241149816745e-211,Sinusoidal,EpiEstim,400,1
5,0.0,Sinusoidal,EpiEstim,400,1
6,0.0,Sinusoidal,EpiEstim,400,1
7,0.0,Sinusoidal,EpiEstim,400,1
8,0.0,Sinusoidal,EpiEstim,400,1
9,0.0,Sinusoidal,EpiEstim,400,1
10,0.0,Sinusoidal,EpiEstim,400,1
11,0.0,Sinusoidal,EpiEstim,400,1
12,0.0,Sinusoidal,EpiEstim,400,1
13,0.0,Sinusoidal,EpiEstim,400,1
14,0.0,Sinusoidal,EpiEstim,400,1
15,0.0,Sinusoidal,EpiEstim,400,1
16,0.0,Sinusoidal,EpiEstim,400,1
17,0.0,Sinusoidal,EpiEstim,400,1
18,0.0,Sinusoidal,EpiEstim,400,1
19,0.0,Sinusoidal,EpiEstim,400,1
20,0.0,Sinusoidal,EpiEstim,400,1
21,0.0,Sinusoidal,EpiEstim,400,1
22,0.0,Sinusoidal,EpiEstim,400,1
23,0.0,Sinusoidal,EpiEstim,400,1
24,0.0,Sinusoidal,EpiEstim,400,1
25,0.0,Sinusoidal,EpiEstim,400,1
26,0.0,Sinusoidal,EpiEstim,400,1
27,0.0,Sinusoidal,EpiEstim,400,1
28,0.0,Sinusoidal,EpiEstim,400,1
29,0.0,Sinusoidal,EpiEstim,400,1
30,0.0,Sinusoidal,EpiEstim,400,1
1,1.6653655030266948e-32,Sinusoidal,EpiEstim,800,1
2,1.0,Sinusoidal,EpiEstim,800,1
3,1.8661631999995112e-193,Sinusoidal,EpiEstim,800,1
4,0.0,Sinusoidal,EpiEstim,800,1
5,0.0,Sinusoidal,EpiEstim,800,1
6,0.0,Sinusoidal,EpiEstim,800,1
7,0.0,Sinusoidal,EpiEstim,800,1
8,0.0,Sinusoidal,EpiEstim,800,1
9,0.0,Sinusoidal,EpiEstim,800,1
10,0.0,Sinusoidal,EpiEstim,800,1
11,0.0,Sinusoidal,EpiEstim,800,1
12,0.0,Sinusoidal,EpiEstim,800,1
13,0.0,Sinusoidal,EpiEstim,800,1
14,0.0,Sinusoidal,EpiEstim,800,1
15,0.0,Sinusoidal,EpiEstim,800,1
16,0.0,Sinusoidal,EpiEstim,800,1
17,0.0,Sinusoidal,EpiEstim,800,1
18,0.0,Sinusoidal,EpiEstim,800,1
19,0.0,Sinusoidal,EpiEstim,800,1
20,0.0,Sinusoidal,EpiEstim,800,1
21,0.0,Sinusoidal,EpiEstim,800,1
22,0.0,Sinusoidal,EpiEstim,800,1
23,0.0,Sinusoidal,EpiEstim,800,1
24,0.0,Sinusoidal,EpiEstim,800,1
25,0.0,Sinusoidal,EpiEstim,800,1
26,0.0,Sinusoidal,EpiEstim,800,1
27,0.0,Sinusoidal,EpiEstim,800,1
28,0.0,Sinusoidal,EpiEstim,800,1
29,0.0,Sinusoidal,EpiEstim,800,1
30,0.0,Sinusoidal,EpiEstim,800,1
1,1.0,Sinusoidal,EpiEstim,1600,1
2,5.601743969336079e-56,Sinusoidal,EpiEstim,1600,1
3,0.0,Sinusoidal,EpiEstim,1600,1
4,0.0,Sinusoidal,EpiEstim,1600,1
5,0.0,Sinusoidal,EpiEstim,1600,1
6,0.0,Sinusoidal,EpiEstim,1600,1
7,0.0,Sinusoidal,EpiEstim,1600,1
8,0.0,Sinusoidal,EpiEstim,1600,1
