k,p,simulation,model,TrueParam,iter
9,6.555576078382327e-89,Step change,EpiEstim,21,1
10,5.814673323862371e-106,Step change,EpiEstim,21,1
11,1.230483466236438e-122,Step change,EpiEstim,21,1
12,1.8411525139572895e-139,Step change,EpiEstim,21,1
13,7.711732103018086e-156,Step change,EpiEstim,21,1
14,3.9434587263156793e-172,Step change,EpiEstim,21,1
15,1.2933545806111425e-187,Step change,EpiEstim,21,1
16,1.2496324211062446e-203,Step change,EpiEstim,21,1
17,1.7685931274691927e-218,Step change,EpiEstim,21,1
18,2.0286559919986658e-232,Step change,EpiEstim,21,1
19,1.2609052399802604e-245,Step change,EpiEstim,21,1
20,3.317224353028154e-259,Step change,EpiEstim,21,1
21,8.46252286195756e-270,Step change,EpiEstim,21,1
22,9.619646265780622e-282,Step change,EpiEstim,21,1
23,2.776796298342991e-290,Step change,EpiEstim,21,1
24,1.7012497014484884e-297,Step change,EpiEstim,21,1
25,7.477097792812325e-303,Step change,EpiEstim,21,1
26,1.626065004612377e-306,Step change,EpiEstim,21,1
27,6.5460015968281e-309,Step change,EpiEstim,21,1
28,1.1503007768517e-310,Step change,EpiEstim,21,1
29,8.114930972294e-311,Step change,EpiEstim,21,1
30,7.83875794648075e-310,Step change,EpiEstim,21,1
1,5.784960260095139e-49,Step change,EpiEstim,18,1
2,1.0,Step change,EpiEstim,18,1
3,2.4720224979706156e-17,Step change,EpiEstim,18,1
4,3.007469387587292e-41,Step change,EpiEstim,18,1
5,2.3759198480498346e-63,Step change,EpiEstim,18,1
6,2.9518735681890806e-86,Step change,EpiEstim,18,1
7,2.3118550268665345e-113,Step change,EpiEstim,18,1
8,4.4643247060205605e-140,Step change,EpiEstim,18,1
9,9.531408495500597e-164,Step change,EpiEstim,18,1
10,4.454877378641929e-188,Step change,EpiEstim,18,1
11,7.580396795474104e-212,Step change,EpiEstim,18,1
12,7.214381514331238e-236,Step change,EpiEstim,18,1
13,5.592715496695884e-260,Step change,EpiEstim,18,1
14,4.275591900359204e-285,Step change,EpiEstim,18,1
15,1.106102805210927e-309,Step change,EpiEstim,18,1
16,0.0,Step change,EpiEstim,18,1
17,0.0,Step change,EpiEstim,18,1
18,0.0,Step change,EpiEstim,18,1
19,0.0,Step change,EpiEstim,18,1
20,0.0,Step change,EpiEstim,18,1
21,0.0,Step change,EpiEstim,18,1
22,0.0,Step change,EpiEstim,18,1
23,0.0,Step change,EpiEstim,18,1
24,0.0,Step change,EpiEstim,18,1
25,0.0,Step change,EpiEstim,18,1
26,0.0,Step change,EpiEstim,18,1
27,0.0,Step change,EpiEstim,18,1
28,0.0,Step change,EpiEstim,18,1
29,0.0,Step change,EpiEstim,18,1
30,0.0,Step change,EpiEstim,18,1
1,5.255389638704351e-34,Step change,EpiEstim,15,1
2,1.0,Step change,EpiEstim,15,1
3,1.0303312292619921e-25,Step change,EpiEstim,15,1
4,1.305660445062935e-57,Step change,EpiEstim,15,1
5,9.068565400354628e-93,Step change,EpiEstim,15,1
6,6.067637461610887e-125,Step change,EpiEstim,15,1
7,1.1657083217844853e-155,Step change,EpiEstim,15,1
8,6.69244766003733e-185,Step change,EpiEstim,15,1
9,3.7031092712329157e-214,Step change,EpiEstim,15,1
10,5.636458633540335e-242,Step change,EpiEstim,15,1
11,1.8697095777110743e-271,Step change,EpiEstim,15,1
12,1.925316772589879e-300,Step change,EpiEstim,15,1
13,0.0,Step change,EpiEstim,15,1
14,0.0,Step change,EpiEstim,15,1
15,0.0,Step change,EpiEstim,15,1
16,0.0,Step change,EpiEstim,15,1
17,0.0,Step change,EpiEstim,15,1
18,0.0,Step change,EpiEstim,15,1
19,0.0,Step change,EpiEstim,15,1
20,0.0,Step change,EpiEstim,15,1
21,0.0,Step change,EpiEstim,15,1
22,0.0,Step change,EpiEstim,15,1
23,0.0,Step change,EpiEstim,15,1
24,0.0,Step change,EpiEstim,15,1
25,0.0,Step change,EpiEstim,15,1
26,0.0,Step change,EpiEstim,15,1
27,0.0,Step change,EpiEstim,15,1
28,0.0,Step change,EpiEstim,15,1
29,0.0,Step change,EpiEstim,15,1
30,7.9450136973e-314,Step change,EpiEstim,15,1
1,2.1311872910566983e-46,Step change,EpiEstim,14,1
2,1.0,Step change,EpiEstim,14,1
3,2.7446278871137816e-43,Step change,EpiEstim,14,1
4,3.8117702362171933e-82,Step change,EpiEstim,14,1
5,1.2079458479240632e-121,Step change,EpiEstim,14,1
6,5.205218319882459e-156,Step change,EpiEstim,14,1
7,1.1511785190661046e-188,Step change,EpiEstim,14,1
8,2.5572926990816787e-218,Step change,EpiEstim,14,1
9,4.955953968792979e-246,Step change,EpiEstim,14,1
10,1.5307278128206469e-274,Step change,EpiEstim,14,1
11,3.335401818335379e-303,Step change,EpiEstim,14,1
12,0.0,Step change,EpiEstim,14,1
13,0.0,Step change,EpiEstim,14,1
14,0.0,Step change,EpiEstim,14,1
15,0.0,Step change,EpiEstim,14,1
16,0.0,Step change,EpiEstim,14,1
17,0.0,Step change,EpiEstim,14,1
18,0.0,Step change,EpiEstim,14,1
19,0.0,Step change,EpiEstim,14,1
20,0.0,Step change,EpiEstim,14,1
21,0.0,Step change,EpiEstim,14,1
22,0.0,Step change,EpiEstim,14,1
23,0.0,Step change,EpiEstim,14,1
24,0.0,Step change,EpiEstim,14,1
25,0.0,Step change,EpiEstim,14,1
26,0.0,Step change,EpiEstim,14,1
27,0.0,Step change,EpiEstim,14,1
28,2.386214796582e-311,Step change,EpiEstim,14,1
29,1.5385219308306032e-294,Step change,EpiEstim,14,1
30,1.736736458241727e-281,Step change,EpiEstim,14,1
1,6.134192806999563e-24,Step change,EpiEstim,12,1
2,1.0,Step change,EpiEstim,12,1
3,7.607390218143115e-36,Step change,EpiEstim,12,1
4,8.592129188601244e-79,Step change,EpiEstim,12,1
5,5.310971539548395e-125,Step change,EpiEstim,12,1
6,6.5767201922808924e-170,Step change,EpiEstim,12,1
7,1.5452652291959462e-213,Step change,EpiEstim,12,1
8,6.682554089361333e-255,Step change,EpiEstim,12,1
9,9.423264320892032e-296,Step change,EpiEstim,12,1
10,0.0,Step change,EpiEstim,12,1
11,0.0,Step change,EpiEstim,12,1
12,0.0,Step change,EpiEstim,12,1
13,0.0,Step change,EpiEstim,12,1
14,0.0,Step change,EpiEstim,12,1
15,0.0,Step change,EpiEstim,12,1
16,0.0,Step change,EpiEstim,12,1
17,0.0,Step change,EpiEstim,12,1
18,0.0,Step change,EpiEstim,12,1
19,0.0,Step change,EpiEstim,12,1
20,0.0,Step change,EpiEstim,12,1
21,0.0,Step change,EpiEstim,12,1
22,0.0,Step change,EpiEstim,12,1
23,0.0,Step change,EpiEstim,12,1
24,0.0,Step change,EpiEstim,12,1
25,3.0810288483395355e-305,Step change,EpiEstim,12,1
26,6.548162869269367e-288,Step change,EpiEstim,12,1
27,5.070875817545677e-276,Step change,EpiEstim,12,1
28,3.3850066327749914e-269,Step change,EpiEstim,12,1
29,3.106855308980141e-267,Step change,EpiEstim,12,1
30,9.821301452026508e-269,Step change,EpiEstim,12,1
1,8.374751954963057e-25,Step change,EpiEstim,11,1
2,1.0,Step change,EpiEstim,11,1
3,1.4314554253868672e-40,Step change,EpiEstim,11,1
4,7.41013569392723e-85,Step change,EpiEstim,11,1
5,2.108884478586384e-131,Step change,EpiEstim,11,1
6,6.43322997752215e-179,Step change,EpiEstim,11,1
7,1.3684051132211691e-220,Step change,EpiEstim,11,1
8,1.8154554112975917e-262,Step change,EpiEstim,11,1
9,2.842111117326319e-305,Step change,EpiEstim,11,1
10,0.0,Step change,EpiEstim,11,1
11,0.0,Step change,EpiEstim,11,1
12,0.0,Step change,EpiEstim,11,1
13,0.0,Step change,EpiEstim,11,1
14,0.0,Step change,EpiEstim,11,1
15,0.0,Step change,EpiEstim,11,1
16,0.0,Step change,EpiEstim,11,1
17,0.0,Step change,EpiEstim,11,1
18,0.0,Step change,EpiEstim,11,1
19,0.0,Step change,EpiEstim,11,1
20,0.0,Step change,EpiEstim,11,1
21,0.0,Step change,EpiEstim,11,1
22,4.86103846281865e-310,Step change,EpiEstim,11,1
23,1.8077745648767218e-284,Step change,EpiEstim,11,1
24,1.2002017992991595e-266,Step change,EpiEstim,11,1
25,1.5722903076926798e-255,Step change,EpiEstim,11,1
26,5.560513545001313e-250,Step change,EpiEstim,11,1
27,1.6193307845529909e-248,Step change,EpiEstim,11,1
28,8.011407655085911e-251,Step change,EpiEstim,11,1
29,2.591792353983269e-255,Step change,EpiEstim,11,1
30,6.427773410650629e-263,Step change,EpiEstim,11,1
1,3.632552321286856e-8,Step change,EpiEstim,10,1
2,0.9999999636744767,Step change,EpiEstim,10,1
3,5.0474715455404067e-51,Step change,EpiEstim,10,1
4,2.7004623168607115e-94,Step change,EpiEstim,10,1
5,4.424444706520982e-147,Step change,EpiEstim,10,1
6,2.886039900556521e-194,Step change,EpiEstim,10,1
7,1.0505092223579957e-241,Step change,EpiEstim,10,1
8,2.0198887725124646e-290,Step change,EpiEstim,10,1
9,0.0,Step change,EpiEstim,10,1
10,0.0,Step change,EpiEstim,10,1
11,0.0,Step change,EpiEstim,10,1
