eta,p,simulation,model
0.104,1.17568124930658e-9,NZCOVID,EpiFilter
0.105,1.7099084404856756e-9,NZCOVID,EpiFilter
0.10600000000000001,2.4652263318992524e-9,NZCOVID,EpiFilter
0.107,3.524073534077309e-9,NZCOVID,EpiFilter
0.108,4.996169481848955e-9,NZCOVID,EpiFilter
0.109,7.026348001724858e-9,NZCOVID,EpiFilter
0.11,9.804270964192074e-9,NZCOVID,EpiFilter
0.111,1.3576372175187227e-8,NZCOVID,EpiFilter
0.11199999999999999,1.8660422572580973e-8,NZCOVID,EpiFilter
0.113,2.5463148218594466e-8,NZCOVID,EpiFilter
0.114,3.45013712199718e-8,NZCOVID,EpiFilter
0.11499999999999999,4.6427179076520404e-8,NZCOVID,EpiFilter
0.116,6.205765839817469e-8,NZCOVID,EpiFilter
0.117,8.240975264756196e-8,NZCOVID,EpiFilter
0.118,1.087408186704443e-7,NZCOVID,EpiFilter
0.11900000000000001,1.425954613371373e-7,NZCOVID,EpiFilter
0.12,1.858592177188237e-7,NZCOVID,EpiFilter
0.121,2.4081964002763527e-7,NZCOVID,EpiFilter
0.122,3.1023528837989683e-7,NZCOVID,EpiFilter
0.123,3.9741308884300725e-7,NZCOVID,EpiFilter
0.124,5.062944380515343e-7,NZCOVID,EpiFilter
0.125,6.415503421421338e-7,NZCOVID,EpiFilter
0.126,8.08685764525375e-7,NZCOVID,EpiFilter
0.127,1.0141532242316492e-6,NZCOVID,EpiFilter
0.128,1.2654755349305305e-6,NZCOVID,EpiFilter
0.129,1.571377405480339e-6,NZCOVID,EpiFilter
0.13,1.9419254378573077e-6,NZCOVID,EpiFilter
0.131,2.3886758599549245e-6,NZCOVID,EpiFilter
0.13199999999999998,2.924829122001022e-6,NZCOVID,EpiFilter
0.13299999999999998,3.565390269698362e-6,NZCOVID,EpiFilter
0.134,4.32733378859509e-6,NZCOVID,EpiFilter
0.135,5.229771396947015e-6,NZCOVID,EpiFilter
0.136,6.2941210530500084e-6,NZCOVID,EpiFilter
0.137,7.544275242490527e-6,NZCOVID,EpiFilter
0.13799999999999998,9.006766425856538e-6,NZCOVID,EpiFilter
0.13899999999999998,1.0710927362911264e-5,NZCOVID,EpiFilter
