eta,p,simulation,model
0.12,0.018875348849416967,Standard,EpiFilter
0.121,0.018217946063667483,Standard,EpiFilter
0.122,0.017538693403032456,Standard,EpiFilter
0.123,0.016842749800569105,Standard,EpiFilter
0.124,0.016135057929875428,Standard,EpiFilter
0.125,0.015420305875394514,Standard,EpiFilter
0.126,0.014702895865988953,Standard,EpiFilter
0.127,0.013986919873158215,Standard,EpiFilter
0.128,0.013276141765408412,Standard,EpiFilter
0.129,0.012573985619945131,Standard,EpiFilter
0.13,0.011883529722896004,Standard,EpiFilter
0.131,0.011207505737595607,Standard,EpiFilter
0.13199999999999998,0.010548302486839576,Standard,EpiFilter
0.13299999999999998,0.00990797377684104,Standard,EpiFilter
0.134,0.009288249686982828,Standard,EpiFilter
0.135,0.008690550757923889,Standard,EpiFilter
0.136,0.008116004529500936,Standard,EpiFilter
0.137,0.007565463907329184,Standard,EpiFilter
0.13799999999999998,0.007039526870931165,Standard,EpiFilter
0.13899999999999998,0.0065385570754517165,Standard,EpiFilter
0.14,0.00606270494125461,Standard,EpiFilter
0.14100000000000001,0.005611928870192886,Standard,EpiFilter
0.14200000000000002,0.0051860162724770105,Standard,EpiFilter
0.143,0.004784604132821945,Standard,EpiFilter
0.144,0.004407198888141924,Standard,EpiFilter
0.145,0.004053195430701895,Standard,EpiFilter
0.146,0.0037218950896308637,Standard,EpiFilter
0.14700000000000002,0.0034125224799570605,Standard,EpiFilter
0.148,0.0031242411411524333,Standard,EpiFilter
0.149,0.0028561679167205182,Standard,EpiFilter
0.15,0.0026073860524080854,Standard,EpiFilter
0.151,0.0023769570132362323,Standard,EpiFilter
0.152,0.0021639310387880036,Standard,EpiFilter
0.15300000000000002,0.0019673564722699198,Standard,EpiFilter
0.154,0.0017862879119002568,Standard,EpiFilter
0.155,0.001619793243459699,Standard,EpiFilter
0.156,0.0014669596205768055,Standard,EpiFilter
0.157,0.0013268984647804517,Standard,EpiFilter
0.158,0.0011987495608076098,Standard,EpiFilter
0.15899999999999997,0.0010816843243503234,Standard,EpiFilter
0.16,0.0009749083196174346,Standard,EpiFilter
0.161,0.0008776631030249003,Standard,EpiFilter
0.162,0.0007892274672234979,Standard,EpiFilter
0.163,0.0007089181567320941,Standard,EpiFilter
0.16399999999999998,0.00063609012286519,Standard,EpiFilter
0.16499999999999998,0.0005701363815899618,Standard,EpiFilter
0.166,0.0005104875335566069,Standard,EpiFilter
0.167,0.00045661100096834373,Standard,EpiFilter
0.168,0.0004080100312807628,Standard,EpiFilter
0.169,0.0003642225130606505,Standard,EpiFilter
0.16999999999999998,0.00032481964474110556,Standard,EpiFilter
0.17099999999999999,0.00028940449257821503,Standard,EpiFilter
0.17200000000000001,0.00025761046986305013,Standard,EpiFilter
0.17300000000000001,0.0002290997654223494,Standard,EpiFilter
0.17400000000000002,0.0002035617456831029,Standard,EpiFilter
0.175,0.00018071135107940568,Standard,EpiFilter
0.176,0.00016028750437382431,Standard,EpiFilter
0.177,0.00014205154553590028,Standard,EpiFilter
0.178,0.00012578570517730964,Standard,EpiFilter
0.17900000000000002,0.00011129162616730335,Standard,EpiFilter
0.18,9.83889409466822e-5,Standard,EpiFilter
0.181,8.691391019537184e-5,Standard,EpiFilter
0.182,7.671812688612232e-5,Standard,EpiFilter
0.183,6.76672883491936e-5,Standard,EpiFilter
0.184,5.964003776792853e-5,Standard,EpiFilter
0.18500000000000003,5.2526875504369473e-5,Standard,EpiFilter
