k,p,simulation,model,TrueParam,iter
29,4.843669834560052e-249,Sinusoidal,EpiEstim,20,1
30,1.6983152216339212e-261,Sinusoidal,EpiEstim,20,1
1,1.6359527302979335e-88,Sinusoidal,EpiEstim,25,1
2,0.9999999999991143,Sinusoidal,EpiEstim,25,1
3,8.858234535338868e-13,Sinusoidal,EpiEstim,25,1
4,7.966051207422403e-36,Sinusoidal,EpiEstim,25,1
5,3.516342832931188e-67,Sinusoidal,EpiEstim,25,1
6,8.819475020971723e-104,Sinusoidal,EpiEstim,25,1
7,2.7266419354284696e-144,Sinusoidal,EpiEstim,25,1
8,1.7480655565645553e-185,Sinusoidal,EpiEstim,25,1
9,9.087882474910736e-226,Sinusoidal,EpiEstim,25,1
10,1.1108307152258724e-264,Sinusoidal,EpiEstim,25,1
11,9.652197560044584e-301,Sinusoidal,EpiEstim,25,1
12,0.0,Sinusoidal,EpiEstim,25,1
13,0.0,Sinusoidal,EpiEstim,25,1
14,0.0,Sinusoidal,EpiEstim,25,1
15,0.0,Sinusoidal,EpiEstim,25,1
16,0.0,Sinusoidal,EpiEstim,25,1
17,0.0,Sinusoidal,EpiEstim,25,1
18,0.0,Sinusoidal,EpiEstim,25,1
19,0.0,Sinusoidal,EpiEstim,25,1
20,0.0,Sinusoidal,EpiEstim,25,1
21,0.0,Sinusoidal,EpiEstim,25,1
22,0.0,Sinusoidal,EpiEstim,25,1
23,0.0,Sinusoidal,EpiEstim,25,1
24,1.1e-322,Sinusoidal,EpiEstim,25,1
25,3.8033726027277495e-302,Sinusoidal,EpiEstim,25,1
26,1.602526349155434e-283,Sinusoidal,EpiEstim,25,1
27,2.3377190247350156e-267,Sinusoidal,EpiEstim,25,1
28,1.700012724311232e-254,Sinusoidal,EpiEstim,25,1
29,3.6268974869531814e-245,Sinusoidal,EpiEstim,25,1
30,3.0450981074523135e-239,Sinusoidal,EpiEstim,25,1
1,2.0691238704258485e-83,Sinusoidal,EpiEstim,30,1
2,0.9999870574794764,Sinusoidal,EpiEstim,30,1
3,1.294252052370167e-5,Sinusoidal,EpiEstim,30,1
4,3.923127409541275e-27,Sinusoidal,EpiEstim,30,1
5,4.998205434683399e-50,Sinusoidal,EpiEstim,30,1
6,6.3546747324711575e-81,Sinusoidal,EpiEstim,30,1
7,1.933027297383366e-113,Sinusoidal,EpiEstim,30,1
8,1.0195919870442676e-148,Sinusoidal,EpiEstim,30,1
9,1.8886398512643389e-184,Sinusoidal,EpiEstim,30,1
10,1.6637274627466294e-220,Sinusoidal,EpiEstim,30,1
11,3.2919554777676514e-256,Sinusoidal,EpiEstim,30,1
12,7.350480072142138e-290,Sinusoidal,EpiEstim,30,1
13,6.8e-322,Sinusoidal,EpiEstim,30,1
14,0.0,Sinusoidal,EpiEstim,30,1
15,0.0,Sinusoidal,EpiEstim,30,1
16,0.0,Sinusoidal,EpiEstim,30,1
17,0.0,Sinusoidal,EpiEstim,30,1
18,0.0,Sinusoidal,EpiEstim,30,1
19,0.0,Sinusoidal,EpiEstim,30,1
20,0.0,Sinusoidal,EpiEstim,30,1
21,0.0,Sinusoidal,EpiEstim,30,1
22,0.0,Sinusoidal,EpiEstim,30,1
23,0.0,Sinusoidal,EpiEstim,30,1
24,0.0,Sinusoidal,EpiEstim,30,1
25,0.0,Sinusoidal,EpiEstim,30,1
26,0.0,Sinusoidal,EpiEstim,30,1
27,0.0,Sinusoidal,EpiEstim,30,1
28,0.0,Sinusoidal,EpiEstim,30,1
29,0.0,Sinusoidal,EpiEstim,30,1
30,0.0,Sinusoidal,EpiEstim,30,1
1,2.172601590123707e-88,Sinusoidal,EpiEstim,35,1
2,0.36726357883256394,Sinusoidal,EpiEstim,35,1
3,0.6327364211674215,Sinusoidal,EpiEstim,35,1
4,1.45711537872389e-14,Sinusoidal,EpiEstim,35,1
5,1.2092111111648519e-29,Sinusoidal,EpiEstim,35,1
6,2.512676818198665e-50,Sinusoidal,EpiEstim,35,1
7,1.9667918523612687e-71,Sinusoidal,EpiEstim,35,1
8,1.2618584446935601e-95,Sinusoidal,EpiEstim,35,1
9,1.1804003188902403e-121,Sinusoidal,EpiEstim,35,1
10,4.297854532887387e-149,Sinusoidal,EpiEstim,35,1
11,1.3362609953871206e-176,Sinusoidal,EpiEstim,35,1
12,8.142188897073835e-205,Sinusoidal,EpiEstim,35,1
13,1.1928815138409948e-231,Sinusoidal,EpiEstim,35,1
14,2.5692580513903e-257,Sinusoidal,EpiEstim,35,1
15,5.906343394487492e-282,Sinusoidal,EpiEstim,35,1
16,9.880022497853752e-305,Sinusoidal,EpiEstim,35,1
17,0.0,Sinusoidal,EpiEstim,35,1
18,0.0,Sinusoidal,EpiEstim,35,1
19,0.0,Sinusoidal,EpiEstim,35,1
20,0.0,Sinusoidal,EpiEstim,35,1
21,0.0,Sinusoidal,EpiEstim,35,1
22,0.0,Sinusoidal,EpiEstim,35,1
23,0.0,Sinusoidal,EpiEstim,35,1
24,0.0,Sinusoidal,EpiEstim,35,1
