eta,p,simulation,model
0.098,4.604801483148912e-8,Random walk,EpiFilter
0.09899999999999999,6.361155917337183e-8,Random walk,EpiFilter
0.1,8.736744753941919e-8,Random walk,EpiFilter
0.101,1.19312423419478e-7,Random walk,EpiFilter
0.102,1.620232587733414e-7,Random walk,EpiFilter
0.10300000000000001,2.1880506180402172e-7,Random walk,EpiFilter
0.104,2.938716527056826e-7,Random walk,EpiFilter
0.105,3.925633937141057e-7,Random walk,EpiFilter
0.10600000000000001,5.216083895405827e-7,Random walk,EpiFilter
0.107,6.894334678981704e-7,Random walk,EpiFilter
0.108,9.065317812729349e-7,Random walk,EpiFilter
0.109,1.1858942102676496e-6,Random walk,EpiFilter
0.11,1.5435119619528149e-6,Random walk,EpiFilter
0.111,1.998957806764307e-6,Random walk,EpiFilter
0.11199999999999999,2.5760532452044817e-6,Random walk,EpiFilter
0.113,3.3036285004322677e-6,Random walk,EpiFilter
0.114,4.216381554083026e-6,Random walk,EpiFilter
0.11499999999999999,5.3558414416136935e-6,Random walk,EpiFilter
0.116,6.771439664648376e-6,Random walk,EpiFilter
0.117,8.52169183144238e-6,Random walk,EpiFilter
0.118,1.0675489480506627e-5,Random walk,EpiFilter
0.11900000000000001,1.3313499464650397e-5,Random walk,EpiFilter
0.12,1.6529665272537014e-5,Random walk,EpiFilter
0.121,2.0432801257139634e-5,Random walk,EpiFilter
0.122,2.514826695423699e-5,Random walk,EpiFilter
0.123,3.0819704556689545e-5,Random walk,EpiFilter
0.124,3.7610818227910334e-5,Random walk,EpiFilter
0.125,4.570716937273989e-5,Random walk,EpiFilter
0.126,5.531795734000461e-5,Random walk,EpiFilter
0.127,6.667775042626523e-5,Random walk,EpiFilter
0.128,8.004812761978258e-5,Random walk,EpiFilter
0.129,9.571918741400651e-5,Random walk,EpiFilter
0.13,0.00011401087638878885,Random walk,EpiFilter
0.131,0.00013527408726288367,Random walk,EpiFilter
0.13199999999999998,0.00015989147392870076,Random walk,EpiFilter
0.13299999999999998,0.0001882779297420464,Random walk,EpiFilter
0.134,0.000220880675201338,Random walk,EpiFilter
0.135,0.0002581789022439186,Random walk,EpiFilter
0.136,0.0003006829248119999,Random walk,EpiFilter
0.137,0.0003489327891800704,Random walk,EpiFilter
0.13799999999999998,0.000403496302831497,Random walk,EpiFilter
0.13899999999999998,0.00046496644742994664,Random walk,EpiFilter
0.14,0.0005339581496273663,Random walk,EpiFilter
0.14100000000000001,0.0006111043929931822,Random walk,EpiFilter
0.14200000000000002,0.0006970516651348053,Random walk,EpiFilter
0.143,0.0007924547459435677,Random walk,EpiFilter
0.144,0.0008979708556252395,Random walk,EpiFilter
0.145,0.0010142531945429223,Random walk,EpiFilter
0.146,0.0011419439206230527,Random walk,EpiFilter
0.14700000000000002,0.0012816666238556903,Random walk,EpiFilter
0.148,0.0014340183709483619,Random walk,EpiFilter
0.149,0.0015995614061342126,Random walk,EpiFilter
0.15,0.001778814606140983,Random walk,EpiFilter
0.151,0.0019722447981339653,Random walk,EpiFilter
0.152,0.002180258058629554,Random walk,EpiFilter
0.15300000000000002,0.0024031911188269247,Random walk,EpiFilter
0.154,0.0026413030070762305,Random walk,EpiFilter
0.155,0.002894767062269521,Random walk,EpiFilter
0.156,0.0031636634525233453,Random walk,EpiFilter
0.157,0.0034479723315906296,Random walk,EpiFilter
0.158,0.0037475677608955135,Random walk,EpiFilter
0.15899999999999997,0.0040622125180217305,Random walk,EpiFilter
0.16,0.004391553902888911,Random walk,EpiFilter
0.161,0.004735120640911568,Random walk,EpiFilter
0.162,0.005092320968402453,Random walk,EpiFilter
0.163,0.005462441969434673,Random walk,EpiFilter
0.16399999999999998,0.005844650215832024,Random walk,EpiFilter
0.16499999999999998,0.0062379937430550895,Random walk,EpiFilter
0.166,0.006641405374965876,Random walk,EpiFilter
0.167,0.007053707390148772,Random walk,EpiFilter
0.168,0.007473617502010697,Random walk,EpiFilter
0.169,0.007899756104712888,Random walk,EpiFilter
0.16999999999999998,0.008330654717488895,Random walk,EpiFilter
0.17099999999999999,0.008764765541437288,Random walk,EpiFilter
0.17200000000000001,0.009200472025793377,Random walk,EpiFilter
0.17300000000000001,0.009636100325346009,Random walk,EpiFilter
0.17400000000000002,0.010069931517286596,Random walk,EpiFilter
0.175,0.010500214434662262,Random walk,EpiFilter
0.176,0.010925178964799028,Random walk,EpiFilter
0.177,0.011343049654927967,Random walk,EpiFilter
0.178,0.011752059463619307,Random walk,EpiFilter
0.17900000000000002,0.012150463495624651,Random walk,EpiFilter
0.18,0.012536552559412457,Random walk,EpiFilter
0.181,0.012908666390750613,Random walk,EpiFilter
0.182,0.013265206392267455,Random walk,EpiFilter
0.183,0.01360464774747701,Random walk,EpiFilter
0.184,0.01392555077870856,Random walk,EpiFilter
0.18500000000000003,0.014226571430467886,Random walk,EpiFilter
0.186,0.014506470774023192,Random walk,EpiFilter
0.187,0.01476412344382073,Random walk,EpiFilter
