k,p,simulation,model,TrueParam,iter
21,2.3425102441138847e-285,Random walk,EpiEstim,0.15,1
22,6.212716501498519e-297,Random walk,EpiEstim,0.15,1
23,1.9443644353260784e-308,Random walk,EpiEstim,0.15,1
24,1.87404e-319,Random walk,EpiEstim,0.15,1
25,0.0,Random walk,EpiEstim,0.15,1
26,0.0,Random walk,EpiEstim,0.15,1
27,0.0,Random walk,EpiEstim,0.15,1
28,0.0,Random walk,EpiEstim,0.15,1
29,0.0,Random walk,EpiEstim,0.15,1
30,0.0,Random walk,EpiEstim,0.15,1
1,1.0,Random walk,EpiEstim,0.2,1
2,4.076705422443426e-64,Random walk,EpiEstim,0.2,1
3,3.244304298452479e-169,Random walk,EpiEstim,0.2,1
4,1.7253705372e-313,Random walk,EpiEstim,0.2,1
5,0.0,Random walk,EpiEstim,0.2,1
6,0.0,Random walk,EpiEstim,0.2,1
7,0.0,Random walk,EpiEstim,0.2,1
8,0.0,Random walk,EpiEstim,0.2,1
9,0.0,Random walk,EpiEstim,0.2,1
10,0.0,Random walk,EpiEstim,0.2,1
11,0.0,Random walk,EpiEstim,0.2,1
12,0.0,Random walk,EpiEstim,0.2,1
13,0.0,Random walk,EpiEstim,0.2,1
14,0.0,Random walk,EpiEstim,0.2,1
15,0.0,Random walk,EpiEstim,0.2,1
16,0.0,Random walk,EpiEstim,0.2,1
17,0.0,Random walk,EpiEstim,0.2,1
18,0.0,Random walk,EpiEstim,0.2,1
19,0.0,Random walk,EpiEstim,0.2,1
20,0.0,Random walk,EpiEstim,0.2,1
21,0.0,Random walk,EpiEstim,0.2,1
22,0.0,Random walk,EpiEstim,0.2,1
23,0.0,Random walk,EpiEstim,0.2,1
24,0.0,Random walk,EpiEstim,0.2,1
25,0.0,Random walk,EpiEstim,0.2,1
26,0.0,Random walk,EpiEstim,0.2,1
27,0.0,Random walk,EpiEstim,0.2,1
28,0.0,Random walk,EpiEstim,0.2,1
29,0.0,Random walk,EpiEstim,0.2,1
30,0.0,Random walk,EpiEstim,0.2,1
1,1.0,Random walk,EpiEstim,0.25,1
2,2.826730713414622e-115,Random walk,EpiEstim,0.25,1
3,6.09473002474211e-258,Random walk,EpiEstim,0.25,1
4,0.0,Random walk,EpiEstim,0.25,1
5,0.0,Random walk,EpiEstim,0.25,1
6,0.0,Random walk,EpiEstim,0.25,1
7,0.0,Random walk,EpiEstim,0.25,1
8,0.0,Random walk,EpiEstim,0.25,1
9,0.0,Random walk,EpiEstim,0.25,1
10,0.0,Random walk,EpiEstim,0.25,1
11,0.0,Random walk,EpiEstim,0.25,1
12,0.0,Random walk,EpiEstim,0.25,1
13,0.0,Random walk,EpiEstim,0.25,1
14,0.0,Random walk,EpiEstim,0.25,1
15,0.0,Random walk,EpiEstim,0.25,1
16,0.0,Random walk,EpiEstim,0.25,1
17,0.0,Random walk,EpiEstim,0.25,1
18,0.0,Random walk,EpiEstim,0.25,1
19,0.0,Random walk,EpiEstim,0.25,1
20,0.0,Random walk,EpiEstim,0.25,1
21,0.0,Random walk,EpiEstim,0.25,1
22,0.0,Random walk,EpiEstim,0.25,1
23,0.0,Random walk,EpiEstim,0.25,1
24,0.0,Random walk,EpiEstim,0.25,1
25,0.0,Random walk,EpiEstim,0.25,1
26,0.0,Random walk,EpiEstim,0.25,1
27,0.0,Random walk,EpiEstim,0.25,1
28,0.0,Random walk,EpiEstim,0.25,1
29,0.0,Random walk,EpiEstim,0.25,1
30,0.0,Random walk,EpiEstim,0.25,1
1,0.998474999796575,Random walk,EpiEstim,0.3,1
2,0.0015250002034249484,Random walk,EpiEstim,0.3,1
3,1.3642675035467331e-71,Random walk,EpiEstim,0.3,1
4,9.934764051390499e-141,Random walk,EpiEstim,0.3,1
5,6.604647483940365e-218,Random walk,EpiEstim,0.3,1
6,1.988714662918176e-285,Random walk,EpiEstim,0.3,1
7,0.0,Random walk,EpiEstim,0.3,1
8,0.0,Random walk,EpiEstim,0.3,1
9,0.0,Random walk,EpiEstim,0.3,1
10,0.0,Random walk,EpiEstim,0.3,1
11,0.0,Random walk,EpiEstim,0.3,1
12,0.0,Random walk,EpiEstim,0.3,1
13,0.0,Random walk,EpiEstim,0.3,1
14,0.0,Random walk,EpiEstim,0.3,1
15,0.0,Random walk,EpiEstim,0.3,1
16,0.0,Random walk,EpiEstim,0.3,1
17,0.0,Random walk,EpiEstim,0.3,1
18,0.0,Random walk,EpiEstim,0.3,1
19,0.0,Random walk,EpiEstim,0.3,1
20,0.0,Random walk,EpiEstim,0.3,1
21,0.0,Random walk,EpiEstim,0.3,1
22,0.0,Random walk,EpiEstim,0.3,1
23,0.0,Random walk,EpiEstim,0.3,1
24,0.0,Random walk,EpiEstim,0.3,1
25,0.0,Random walk,EpiEstim,0.3,1
26,0.0,Random walk,EpiEstim,0.3,1
27,0.0,Random walk,EpiEstim,0.3,1
28,0.0,Random walk,EpiEstim,0.3,1
29,0.0,Random walk,EpiEstim,0.3,1
30,0.0,Random walk,EpiEstim,0.3,1
1,1.0,Random walk,EpiEstim,0.35,1
2,0.0,Random walk,EpiEstim,0.35,1
3,0.0,Random walk,EpiEstim,0.35,1
4,0.0,Random walk,EpiEstim,0.35,1
5,0.0,Random walk,EpiEstim,0.35,1
6,0.0,Random walk,EpiEstim,0.35,1
7,0.0,Random walk,EpiEstim,0.35,1
8,0.0,Random walk,EpiEstim,0.35,1
9,0.0,Random walk,EpiEstim,0.35,1
10,0.0,Random walk,EpiEstim,0.35,1
11,0.0,Random walk,EpiEstim,0.35,1
12,0.0,Random walk,EpiEstim,0.35,1
13,0.0,Random walk,EpiEstim,0.35,1
14,0.0,Random walk,EpiEstim,0.35,1
15,0.0,Random walk,EpiEstim,0.35,1
16,0.0,Random walk,EpiEstim,0.35,1
17,0.0,Random walk,EpiEstim,0.35,1
18,0.0,Random walk,EpiEstim,0.35,1
19,0.0,Random walk,EpiEstim,0.35,1
20,0.0,Random walk,EpiEstim,0.35,1
21,0.0,Random walk,EpiEstim,0.35,1
22,0.0,Random walk,EpiEstim,0.35,1
23,0.0,Random walk,EpiEstim,0.35,1
24,0.0,Random walk,EpiEstim,0.35,1
25,0.0,Random walk,EpiEstim,0.35,1
26,0.0,Random walk,EpiEstim,0.35,1
27,0.0,Random walk,EpiEstim,0.35,1
28,0.0,Random walk,EpiEstim,0.35,1
29,0.0,Random walk,EpiEstim,0.35,1
30,0.0,Random walk,EpiEstim,0.35,1
1,1.0,Random walk,EpiEstim,0.4,1
2,2.243930188887226e-121,Random walk,EpiEstim,0.4,1
3,7.03017720818249e-265,Random walk,EpiEstim,0.4,1
4,0.0,Random walk,EpiEstim,0.4,1
5,0.0,Random walk,EpiEstim,0.4,1
6,0.0,Random walk,EpiEstim,0.4,1
7,0.0,Random walk,EpiEstim,0.4,1
8,0.0,Random walk,EpiEstim,0.4,1
9,0.0,Random walk,EpiEstim,0.4,1
10,0.0,Random walk,EpiEstim,0.4,1
11,0.0,Random walk,EpiEstim,0.4,1
12,0.0,Random walk,EpiEstim,0.4,1
13,0.0,Random walk,EpiEstim,0.4,1
14,0.0,Random walk,EpiEstim,0.4,1
15,0.0,Random walk,EpiEstim,0.4,1
16,0.0,Random walk,EpiEstim,0.4,1
17,0.0,Random walk,EpiEstim,0.4,1
18,0.0,Random walk,EpiEstim,0.4,1
19,0.0,Random walk,EpiEstim,0.4,1
20,0.0,Random walk,EpiEstim,0.4,1
21,0.0,Random walk,EpiEstim,0.4,1
22,0.0,Random walk,EpiEstim,0.4,1
23,0.0,Random walk,EpiEstim,0.4,1
24,0.0,Random walk,EpiEstim,0.4,1
25,0.0,Random walk,EpiEstim,0.4,1
26,0.0,Random walk,EpiEstim,0.4,1
27,0.0,Random walk,EpiEstim,0.4,1
28,0.0,Random walk,EpiEstim,0.4,1
29,0.0,Random walk,EpiEstim,0.4,1
30,0.0,Random walk,EpiEstim,0.4,1
1,1.0,Random walk,EpiEstim,0.45,1
2,0.0,Random walk,EpiEstim,0.45,1
3,0.0,Random walk,EpiEstim,0.45,1
4,0.0,Random walk,EpiEstim,0.45,1
5,0.0,Random walk,EpiEstim,0.45,1
6,0.0,Random walk,EpiEstim,0.45,1
7,0.0,Random walk,EpiEstim,0.45,1
8,0.0,Random walk,EpiEstim,0.45,1
9,0.0,Random walk,EpiEstim,0.45,1
10,0.0,Random walk,EpiEstim,0.45,1
11,0.0,Random walk,EpiEstim,0.45,1
12,0.0,Random walk,EpiEstim,0.45,1
13,0.0,Random walk,EpiEstim,0.45,1
14,0.0,Random walk,EpiEstim,0.45,1
15,0.0,Random walk,EpiEstim,0.45,1
16,0.0,Random walk,EpiEstim,0.45,1
17,0.0,Random walk,EpiEstim,0.45,1
18,0.0,Random walk,EpiEstim,0.45,1
19,0.0,Random walk,EpiEstim,0.45,1
20,0.0,Random walk,EpiEstim,0.45,1
21,0.0,Random walk,EpiEstim,0.45,1
22,0.0,Random walk,EpiEstim,0.45,1
23,0.0,Random walk,EpiEstim,0.45,1
24,0.0,Random walk,EpiEstim,0.45,1
25,0.0,Random walk,EpiEstim,0.45,1
26,0.0,Random walk,EpiEstim,0.45,1
27,0.0,Random walk,EpiEstim,0.45,1
28,0.0,Random walk,EpiEstim,0.45,1
29,0.0,Random walk,EpiEstim,0.45,1
